PID,ADDRESS,CV
047 854 472,39 CLINTON ST,647100
047 854 473,43 CLINTON ST,544400
047 854 475,45 REAR RIPLEY ST,488100
047 854 477,20 EDMUND ST,794200
047 860 001,11 13 RIPLEY ST,1136300
047 860 002,11 WOODROW AVE,628000
047 860 003,17 WOODROW AVE,588500
047 860 004,14 WINTER ST,562900
047 860 005 1,856 MAIN ST A,407100
047 860 005 2,856 MAIN ST B,509400
047 860 006,848 MAIN ST,650900
047 860 007,834 838 MAIN ST,963000
047 860 008,7 9 RIPLEY ST,979300
047 860 009,860 MAIN ST,532300
047 861 101,163 LINDEN AVE,945000
047 861 102,167 LINDEN AVE,838300
047 861 103,171 LINDEN AVE,868000
047 861 104,175 LINDEN AVE,698300
047 861 105,64 CLINTON ST,479400
047 861 106,60 CLINTON ST,601400
047 861 107,56 CLINTON ST,825900
047 861 110,44 CLINTON ST,362500
047 861 111,40 42 CLINTON ST,792900
047 861 112,36 38 CLINTON ST,768300
047 861 113,28 34 CLINTON ST,1414500
047 861 114,26 CLINTON ST,907200
047 861 115,22 24 CLINTON ST,889500
047 861 116,20 CLINTON ST,651700
047 861 117,16 CLINTON ST,804200
047 861 118,14 CLINTON ST,951200
047 861 119,766 MAIN ST,794300
047 861 120,746 MAIN ST,1541000
047 861 123,15 VERNON ST,761400
047 861 124,19 21 VERNON ST,951400
047 861 125,25 VERNON ST,989600
047 861 126,27 29 VERNON ST,1450200
047 861 127,31 VERNON ST,784600
047 861 128,37 VERNON ST,698700
047 861 129,47 VERNON ST,743500
047 861 130,51 VERNON ST,666100
047 861 131,55 VERNON ST,681100
047 861 132,165 LINDEN AVE,464300
047 861 133,41 VERNON ST,715200
047 862 201,79 81 CLIFTON ST,791300
047 862 202,155 LINDEN AVE,840900
047 862 203,58 VERNON ST,729900
047 862 204,54 VERNON ST,742700
047 862 205,50 VERNON ST,676700
047 862 206,0 VERNON ST,310800
047 862 207,42 VERNON ST,1029300
047 862 208,40 VERNON ST,593800
047 862 209,36 VERNON ST,577000
047 862 210,32 VERNON ST,737800
047 862 211,28 VERNON ST,668800
047 862 212,25 CLIFTON ST,808100
047 862 213,18 VERNON ST,786300
047 862 214,14 VERNON ST,661400
047 862 215,728 MAIN ST,1607100
047 862 216,13 15 CLIFTON ST,1035800
047 862 217,21 CLIFTON ST,602800
047 862 218,27 29 CLIFTON ST,791700
047 862 219,33 CLIFTON ST,509700
047 862 220,35 37 CLIFTON ST,698300
047 862 221,43 45 CLIFTON ST,968400
047 862 222,47 CLIFTON ST,739400
047 862 223,49 CLIFTON ST,543600
047 862 225,65 CLIFTON ST,589800
047 862 226,71 73 CLIFTON ST,969100
047 862 227,75 77 CLIFTON ST,866800
048 852 201,95 WASHINGTON ST,9925000
048 852 202,99 WASHINGTON ST,990500
048 852 203,105 WASHINGTON ST,1107900
048 852 204,111 WASHINGTON ST,1169100
048 852 205,115 WASHINGTON ST,1279800
048 852 206,14 16 KNEELAND ST,839200
048 852 207,10 KNEELAND ST,646800
048 852 208,8 KNEELAND ST,735800
048 852 209,130 LINDEN AVE,616400
048 852 210,124 LINDEN AVE,847800
048 852 211,118 LINDEN AVE,1071100
048 852 212,112 LINDEN AVE,971500
048 852 213,80 MOUNTAIN AVE,1671500
048 853 301 1,13 U-1 KNEELAND ST,490200
048 853 301 2,11 U-2 KNEELAND ST,470500
048 853 302,92 94 CLIFTON ST,1009900
048 853 303,138 LINDEN AVE,671500
048 853 304,1 3 KNEELAND ST,884900
048 853 305,7 9A KNEELAND ST,1171900
048 853 306,133 135 WASHINGTON ST,1025800
048 853 307,137 139 WASHINGTON ST,859900
048 863 301,21 HAMLET PL,685400
048 863 302,34 CLIFTON ST,678000
048 863 303,28 CLIFTON ST,785700
048 863 304,26 CLIFTON ST,610000
048 863 305,18 20 CLIFTON ST,770200
048 863 306,14 16 CLIFTON ST,714900
048 863 307,710 MAIN ST,902600
048 863 308,706 706A MAIN ST,795500
048 863 309,11 HAMLET PL,643300
048 863 310,17 HAMLET PL,778200
048 864 401,90 MOUNTAIN AVE,881900
048 864 402,107 LINDEN AVE,663000
048 864 403,111 LINDEN AVE,783000
048 864 404,117 LINDEN AVE,889700
048 864 405,123 LINDEN AVE,871200
048 864 406,127 LINDEN AVE,1092600
048 864 407,131 LINDEN AVE,721300
048 864 408,135 LINDEN AVE,790700
048 864 409,139 LINDEN AVE,826300
048 864 410,143 LINDEN AVE,934300
048 864 411,68 CLIFTON ST,663600
048 864 412,94 MOUNTAIN AVE,680000
048 864 413,2 PARK VIEW TR,901800
048 864 414,4 6 PARK VIEW TR,852100
048 864 415,8 10 PARK VIEW TR,726400
048 864 416,16 18 PARK VIEW TR,809700
048 864 417,20 PARK VIEW TR,671700
048 864 418,24 HAMLET PL,561800
048 864 419,22 HAMLET PL,496400
048 864 420,20 HAMLET PL,715600
048 864 421,16 HAMLET PL,590400
048 864 422,10 12 HAMLET PL,822200
048 864 423,690 692 MAIN ST,1188900
048 864 424,686 MAIN ST,737800
048 864 425,15 COTTAGE PL,776100
048 864 426,19 COTTAGE PL,860100
048 864 427,27 COTTAGE PL,763900
048 864 428,29 35 COTTAGE PL,909900
048 864 429,37 COTTAGE PL,719300
048 864 430,30 COTTAGE PL,654500
048 864 431,26 COTTAGE PL,667700
048 864 432,22 COTTAGE PL,675400
048 864 433 1,674 MAIN ST 1,544800
048 864 433 2,674 MAIN ST 2,717600
048 864 434,664 666 MAIN ST,1287200
048 864 435,654 MAIN ST,721900
048 864 436,140 MOUNTAIN AVE,737100
048 864 437,136 MOUNTAIN AVE,813300
048 864 438,134 MOUNTAIN AVE,1058700
048 864 439,120 MOUNTAIN AVE,11064200
048 864 440,108 MOUNTAIN AVE,905100
048 864 441,18 COTTAGE PL,819700
049 279 911,99 DARTMOUTH ST,1615000
049 279 912,139 MOUNTAIN AVE,590100
049 279 913,143 MOUNTAIN AVE,640600
049 279 914,640 MAIN ST,840300
049 279 915,632 MAIN ST,2440400
049 279 916,618 620 MAIN ST,5041700
049 279 917,616 REAR MAIN ST,955900
049 279 918,24 28 HOLM CT,984500
049 279 919,614 MAIN ST,1150400
049 279 920,20 22 HOLM CT,839300
049 279 921,16 18 HOLM CT,791700
049 279 922,9 11 HOLM CT,739500
049 279 923,606 MAIN ST,965700
049 279 924,600 MAIN ST,903200
049 279 925 1,14 U-1 HOLM CT,456400
049 279 925 2,14 U-2 HOLM CT,495300
049 279 925 3,14 U-3 HOLM CT,578800
049 279 926,578 MAIN ST,5958900
049 279 927,568 MAIN ST,849400
049 279 928,556 MAIN ST,3471200
049 279 929 01,550 MAIN ST 1,312200
049 279 929 02,550 MAIN ST 2,311200
049 279 929 03,550 MAIN ST 3,411100
049 279 929 04,550 MAIN ST 4,430400
049 279 929 05,550 MAIN ST 5,314400
049 279 929 06,550 MAIN ST 6,310200
049 279 929 07,550 MAIN ST 7,419800
049 279 929 08,550 MAIN ST 8,428200
049 279 929 09,550 MAIN ST 9,353200
049 279 929 10,550 MAIN ST 10,324100
049 279 929 11,550 MAIN ST 11,415000
049 279 929 12,550 MAIN ST 12,434500
049 279 929 13,550 MAIN ST 13,518700
049 279 930,21 RAMSDELL RD,552400
049 279 931,RAMSDELL RD,1829700
049 279 932,RAMSDELL RD,293600
049 279 942,110 FLORENCE ST,3567500
050 256 601,7 WASHINGTON ST,5531600
050 256 602,17 19 WASHINGTON ST,12403600
050 256 604,95 105 PLEASANT ST,1276400
050 257 701,83 PLEASANT ST,1226900
050 257 703,36 DARTMOUTH ST,22000000
050 257 708,75 PLEASANT ST,14392600
050 257 709,51 61 PLEASANT ST,1098100
050 257 710,41 49 PLEASANT ST,1676400
050 259 901A,31 37 PLEASANT ST,824000
050 259 902,17 DARTMOUTH ST,708100
050 259 904,43 DARTMOUTH ST,1181200
050 259 905,MAIN ST,657300
050 259 906,504 514 MAIN ST,22000000
050 259 907,492 500 MAIN ST,1118300
050 259 908,480 MAIN ST,72165598
050 259 910,440 446 MAIN ST,3170700
050 259 911,428 436 MAIN ST,1125400
050 259 912,422 426 MAIN ST,1881500
050 259 913,418 420 MAIN ST,533400
050 259 914,1 PLEASANT ST,943500
050 259 915,5 13 PLEASANT ST,1423600
050 259 916,15 23 PLEASANT ST,3009900
050 259 917,25 29 PLEASANT ST,583500
050 259 918,11 DARTMOUTH ST,3043200
050 279 901,63 LINDEN AVE,912700
050 279 902,67 LINDEN AVE,1300400
050 279 903,73 LINDEN AVE,837700
050 279 904,77 79 LINDEN AVE,852200
050 279 905,81 LINDEN AVE,1042800
050 279 906,85 LINDEN AVE,941800
050 279 907,89 LINDEN AVE,830800
050 279 908,91 LINDEN AVE,1026600
050 279 909,105 MOUNTAIN AVE,568700
050 279 910,107 MOUNTAIN AVE,3101500
050 279 933 1,63 U-1 WAVEERLY ST,560000
050 279 933 2,61 U-2 WAVEERLY ST,521500
050 279 933 3,59 U-3 WAVEERLY ST,607800
050 279 937,69 WAVEERLY ST,768600
050 279 938,7 LINDEN PL,813800
050 279 939,11 LINDEN PL,665600
050 279 940,LINDEN PL,305500
050 279 941,WAVEERLY ST,69600
050 280 001,99 FLORENCE ST,48483900
050 281 102,57 LINDEN AVE,1245400
050 281 103,72 WAVEERLY ST,649100
050 281 104,68 70 WAVEERLY ST,849200
050 281 105,56 58 WAVEERLY ST,998300
050 282 201 1,49 U-1 WASHINGTON ST,502300
050 282 201 10,49 U-10 WASHINGTON ST,502800
050 282 201 11,49 U-11 WASHINGTON ST,497600
050 282 201 2,49 U-2 WASHINGTON ST,501600
050 282 201 3,49 U-3 WASHINGTON ST,497600
050 282 201 4,49 U-4 WASHINGTON ST,504800
050 282 201 5,49 U-5 WASHINGTON ST,506200
050 282 201 6,49 U-6 WASHINGTON ST,502000
050 282 201 7,49 U-7 WASHINGTON ST,497600
050 282 201 8,49 U-8 WASHINGTON ST,504800
050 282 201 9,49 U-9 WASHINGTON ST,508100
050 282 204,59 WASHINGTON ST,603300
050 282 206 01,71 U-1 WASHINGTON ST,579000
050 282 206 010,61 E-10 WASHINGTON ST,572700
050 282 206 011,61 F-11 WASHINGTON ST,575600
050 282 206 02,69 U-2 WASHINGTON ST,539100
050 282 206 03,67 U-3 WASHINGTON ST,565100
050 282 206 04,65 U-4 WASHINGTON ST,631200
050 282 206 05,63 U-5 WASHINGTON ST,540100
050 282 206 06,61 U-6 WASHINGTON ST,575600
050 282 206 07,61 B-7 WASHINGTON ST,572700
050 282 206 08,61 C-8 WASHINGTON ST,572700
050 282 206 09,61 D-9 WASHINGTON ST,574200
050 282 209 01,81 U-1 WASHINGTON ST,373000
050 282 209 02,81 U-2 WASHINGTON ST,373600
050 282 209 03,81 U-3 WASHINGTON ST,309500
050 282 209 04,81 U-4 WASHINGTON ST,307100
050 282 209 05,81 U-5 WASHINGTON ST,367900
050 282 210,79 MOUNTAIN AVE,1145900
050 282 211,84 LINDEN AVE,1553000
050 282 212,80 LINDEN AVE,605100
050 282 213,74 LINDEN AVE,833500
050 282 215,64 LINDEN AVE,867600
050 282 216,58 60 LINDEN AVE,1764600
050 282 217,54 56 LINDEN AVE,1074200
051 252 211,39 FLORENCE ST,25749400
051 252 213,18 WASHINGTON ST,2729600
051 252 214,157 PLEASANT ST,12705000
051 252 215 1,137 PLEASANT ST,722300
051 252 215 2,139 PLEASANT ST,659700
051 252 215 3,141 PLEASANT ST,620400
051 252 215 4,143 145 PLEASANT ST,1153200
051 252 215 5,147 PLEASANT ST,701600
051 252 216,169 185 PLEASANT ST,6333400
051 252 217,195 PLEASANT ST,15335900
051 253 326,2 FLORENCE ST,3116500
051 253 327,10 FLORENCE ST,23039900
051 275 503,160 PLEASANT ST,66085799
051 275 504,126 150 PLEASANT ST,9491978
051 275 510 1,190 PLEASANT ST,9000000
051 275 510 2,215 PLEASANT ST,12898000
051 275 510 3,205 PLEASANT ST,844800
051 278 801,200 EXCHANGE ST,20134500
051 278 802W,7 JACKSON ST,8428900
052 273 301,384 390 MAIN ST,8666900
052 274 401,110 112 PLEASANT ST,2268200
052 274 402,100 106 PLEASANT ST,1711400
052 274 403,94 PLEASANT ST,2461200
052 274 405,86 90 PLEASANT ST,2659900
052 274 407,72 80 PLEASANT ST,2535300
052 274 408,62 68 PLEASANT ST,3231100
052 274 409,54 60 PLEASANT ST,1191900
052 274 410,46 52 PLEASANT ST,2765000
052 276 601,350 MAIN ST,17780700
052 277 701,63 65 CENTRE ST,4764100
052 277 703,100 150 EXCHANGE ST,76418100
052 277 706,70 76 EXCHANGE ST,906000
052 277 709,40 66 EXCHANGE ST,8264200
053 235 501A,102 COMMERCIAL ST,8415800
053 235 501B,COMMERCIAL ST,2692200
053 235 502,VL CENTRE ST,336000
053 235 506,124 CENTRE ST,932100
053 235 507,11 CANAL ST,1759200
053 255 508,35 CANAL ST,1687500
054 236 601,99 CHARLES ST,22040500
054 236 604,69 MIDDLESEX ST,2559900
054 237 703,167 169 CENTRE ST,754500
054 237 706,290 312 MAIN ST,1703500
054 237 707,11 CHARLES ST,1663900
054 237 709,17 CHARLES ST,1048600
054 237 711,185 CENTRE ST,5129800
055 231 107,197 COMMERCIAL ST,4206100
055 231 109,185 COMMERCIAL ST,2635400
055 232 206,180 CHARLES ST,9141500
055 232 211,184 COMMERCIAL ST,17180000
055 232 213,214 COMMERCIAL ST,2019600
055 232 214,21 RIVERSIDE PK,1657000
055 232 215,32 RIVERSIDE PK,1864500
055 232 216,20 RIVERSIDE PK,2245200
055 232 217,10 RIVERSIDE PK,1672100
055 233 301,129 COMMERCIAL ST,5129000
056 232 207,150 160 CHARLES ST,2276300
056 240 003,131 CANAL ST,384100
056 240 004,105 CANAL ST,2688000
057 231 101,263 COMMERCIAL ST,2090000
057 231 102,COMMERCIAL ST,335600
057 231 103,245 COMMERCIAL ST,1827400
057 231 104,239 COMMERCIAL ST,2439600
057 231 110,277 COMMERCIAL ST,3252400
057 232 201,243 MEDFORD ST,7100600
057 232 203,240 COMMERCIAL ST,8779600
057 232 212,219 MEDFORD ST,6328600
058 240 001,171 MEDFORD ST,15193300
058 240 002,195 CANAL ST,14774600
058 241 101,129 MEDFORD ST,21049100
058 241 102,35 GREEN ST,12568200
059 230 010,230 MEDFORD ST,16553000
059 230 011,326 COMMERCIAL ST,5706900
059 246 601,349 COMMERCIAL ST,714900
059 246 602,339 COMMERCIAL ST,1668300
059 246 603A,323 COMMERCIAL ST,2329100
059 246 603B,323 B COMMERCIAL ST,461200
059 246 604,303 COMMERCIAL ST,1673700
059 246 605,270 280 MEDFORD ST,1700400
059 246 607,359 COMMERCIAL ST,2486500
060 242 201,GREEN ST,901500
060 242 202,131 CONVERSE AVE,667900
060 243 301,130 CONVERSE AVE,719500
060 243 302,126 CONVERSE AVE,701600
060 243 303,120 CONVERSE AVE,553700
060 243 304,114 CONVERSE AVE,510700
060 243 305,135 GREEN ST,629500
060 243 306 A,137 GREEN ST A,412200
060 243 306 B,137 GREEN ST B,636600
060 243 306 C,137 GREEN ST C,492500
060 243 307,139 GREEN ST,465000
060 243 308,91 NEWMAN RD,662400
060 243 309 01,103 U1 NEWMAN RD,360000
060 243 309 02,103 U2 NEWMAN RD,422200
060 243 309 03,103 U3 NEWMAN RD,353900
060 243 309 04,103 U4 NEWMAN RD,280400
060 243 309 05,103 U5 NEWMAN RD,353900
060 243 309 06,103 U6 NEWMAN RD,282200
060 243 309 07,103 U7 NEWMAN RD,399000
060 243 309 08,103 U8 NEWMAN RD,392400
060 243 309 09,103 U9 NEWMAN RD,345800
060 243 309 10,103 U10 NEWMAN RD,356700
060 243 309 11,103 U11 NEWMAN RD,365500
060 243 309 12,103 U12 NEWMAN RD,284900
060 243 309 13,103 U13 NEWMAN RD,388700
060 243 309 14,103 U14 NEWMAN RD,380800
060 243 309 15,103 U15 NEWMAN RD,331300
060 243 309 16,103 U16 NEWMAN RD,397000
060 243 309 17,103 U17 NEWMAN RD,356500
060 244 401,CANAL ST,941600
060 244 402,127 137 WYLLIS AVE,2711600
060 245 501,CANAL ST,2007600
060 245 502,170 MEDFORD ST,8497100
060 245 504,VL CANAL ST,1131100
061 230 004,356 COMMERCIAL ST,7589200
061 230 005,COMMERCIAL ST,88600
062 239 910,36 CHARLES ST,1174600
062 239 911,28 30 CHARLES ST,903900
062 239 912,22 CHARLES ST,1398800
062 239 913,0 CHARLES ST,335500
062 239 914,0 MAIN ST,511200
062 308 801,7 BOW ST,1303500
062 308 802,67 1/2 MADISON ST,582300
062 308 803,65 1/2 MADISON ST,266700
062 308 804,53 MADISON ST,2059500
062 308 805,37 43 MADISON ST,1327200
062 308 806,35 MADISON ST,739700
062 308 807,29 MADISON ST,479600
062 308 808,MADISON ST,28700
062 308 809,15 MADISON ST,897200
062 308 810,MAIN ST,130300
062 308 811,MAIN ST,3900
062 308 813 101,260 MAIN ST 101,287600
062 308 813 102,260 MAIN ST 102,536200
062 308 813 103,260 MAIN ST 103,569300
062 308 813 104,260 MAIN ST 104,588600
062 308 813 105,260 MAIN ST 105,561500
062 308 813 201,260 MAIN ST 201,559300
062 308 813 202,260 MAIN ST 202,539700
062 308 813 203,260 MAIN ST 203,564100
062 308 813 204,260 MAIN ST 204,604000
062 308 813 205,260 MAIN ST 205,285100
062 308 813 301,260 MAIN ST 301,562000
062 308 813 302,260 MAIN ST 302,284200
062 308 813 303,260 MAIN ST 303,564100
062 308 813 304,260 MAIN ST 304,595200
062 308 813 305,260 MAIN ST 305,557500
062 308 813 401,260 MAIN ST 401,586800
062 308 813 402,260 MAIN ST 402,560800
062 308 813 403,260 MAIN ST 403,580400
062 308 813 404,260 MAIN ST 404,616900
062 308 813 405,260 MAIN ST 405,578800
062 308 815,244 248 MAIN ST,1172100
062 308 816,9 MADISON ST,829900
062 308 817 1,17 MADISON ST 1,467700
062 308 817 2,17 MADISON ST 2,467900
062 308 817 3,17 MADISON ST 3,482900
062 308 818,25 MADISON ST,851300
062 308 819,45 47 MADISON ST,895300
062 308 820,63 65 MADISON ST,700000
062 308 821,67 MADISON ST,765900
062 308 822,69 MADISON ST,832800
062 308 823,73 MADISON ST,630700
062 308 824,23 MADISON ST,883500
062 308 825,27 MADISON ST,460700
063 239 901,146 CANAL ST,1263500
063 239 902,100 CHARLES ST,9474200
063 239 903,90 CANAL ST,1884600
063 239 904,124 CHARLES ST,1372500
063 239 905,108 CHARLES ST,635700
063 239 915,120 CANAL ST,2297600
063 239 916,CANAL ST,182200
063 239 918,CANAL ST,27600
063 239 919,CANAL ST,23600
063 239 920,CANAL ST,142800
063 239 921,130 CANAL ST,1278700
063 241 104,17 GREEN ST,202300
063 307 701,GREEN ST,871200
063 307 702A,121 MADISON ST,3566500
063 307 703,16 BOW ST,769200
063 307 704,10 BOW ST,550900
063 307 705,8 BOW ST,529800
063 307 706,81 MADISON ST,644400
063 307 707,87 REAR MADISON ST,945500
063 307 708,83 85 MADISON ST,972000
063 307 709,89 91 MADISON ST,746000
063 307 710,97 99 MADISON ST,769500
063 307 714,125 MADISON ST,363600
063 307 716,32 GREEN ST,483100
064 309 901,25 ELLIS ST,783800
064 309 902,34 MERIDIAN ST,642000
064 309 904,30 MERIDIAN ST,681700
064 309 905,26 MERIDIAN ST,948600
064 309 906,22 MERIDIAN ST,926500
064 309 907,18 MERIDIAN ST,1156000
064 309 908,7 9 MERIDIAN PARKWAY,820600
064 309 909,11 11A MERIDIAN PARKWAY,788900
064 309 910,15 17 MERIDIAN PARKWAY,847400
064 309 911,16 18 MERIDIAN PARKWAY,1009300
064 309 912,12 14 MERIDIAN PARKWAY,807700
064 309 913,8 10 MERIDIAN PARKWAY,734700
064 309 914,6 8 MERIDIAN ST,873400
064 309 915,20 MADISON ST,435500
064 309 916,236 240 MAIN ST,1224900
064 309 917,234 MAIN ST,803200
064 309 918,228 MAIN ST,873500
064 309 919,220 MAIN ST,723400
064 309 920,224 226 MAIN ST,859800
064 309 921,214 MAIN ST,1221300
064 309 922,208 MAIN ST,930400
064 309 923,MAIN ST,103000
064 309 924,206 206A MAIN ST,680600
064 309 925,204 MAIN ST,1572200
064 309 926,194 196 MAIN ST,678300
064 309 927,1 BROWN TR,544200
064 309 928,3 5 BROWN TR,758200
064 309 929,2 4 BROWN TR,905900
064 309 930,190 MAIN ST,876400
064 309 931,188 188A MAIN ST,716200
064 309 932,186 186A MAIN ST,691400
064 309 933,9 11 ELLIS ST,727600
064 309 934,13 13A ELLIS ST,945400
064 309 935,15 17 ELLIS ST,903200
064 309 936,19 ELLIS ST,692500
064 309 937,3 LORING PL,602300
064 309 938,2 LORING PL,660600
064 309 939,1 LORING PL,552100
064 309 941,38 MADISON ST,702200
064 310 001,19 21 BARSTOW ST,978700
064 310 002,90 92 MADISON ST,746800
064 310 003,86 88 MADISON ST,800400
064 310 004,82 MADISON ST,697300
064 310 005,74 MADISON ST,768100
064 310 006,64 66 MADISON ST,695700
064 310 007,60 MADISON ST,1012500
064 310 008,58 MADISON ST,679100
064 310 009,7 MERIDIAN ST,4057200
064 310 010,17 MERIDIAN ST,808600
064 310 011,19 MERIDIAN ST,831900
064 310 012,11 CRAWFORD ST,835900
064 310 013,17 CRAWFORD ST,740500
064 310 014,18 CRAWFORD ST,833400
064 310 015,10 CRAWFORD ST,689500
064 310 016,27 MERIDIAN ST,709100
064 310 017,29 MERIDIAN ST,825400
064 310 018,33 MERIDIAN ST,707500
064 310 019,9 BARSTOW ST,707600
064 310 020,11 11A BARSTOW ST,823000
064 310 021,17 BARSTOW ST,827400
065 311 101,25 27 SHAWMUT ST,912600
065 311 102,120 MADISON ST,794700
065 311 103,116 118 MADISON ST,701100
065 311 104,112 114 MADISON ST,661600
065 311 105,108 MADISON ST,807300
065 311 106,18 BARSTOW ST,592600
065 311 107,14 16 BARSTOW ST,851100
065 311 108,10 BARSTOW ST,602800
065 311 109,39 MERIDIAN ST,918000
065 311 110,45 MERIDIAN ST,700900
065 311 111,47 49 MERIDIAN ST,785200
065 311 112,51 MERIDIAN ST,516800
065 311 113,53 MERIDIAN ST,666400
065 311 114,57 MERIDIAN ST,716300
065 311 115,59 MERIDIAN ST,959600
065 311 116,7 SHAWMUT ST,554700
065 311 117,9 SHAWMUT ST,566000
065 311 118,11 15 SHAWMUT ST,719300
065 311 119,7 9 SHAWMUT TR,899100
065 311 120,11 SHAWMUT TR,644600
065 311 121,17 SHAWMUT TR,559700
065 311 122,18 SHAWMUT TR,735100
065 311 123,14 SHAWMUT TR,737400
065 311 124,8 SHAWMUT TR,635200
065 311 125,19 21 SHAWMUT ST,889000
065 311 126,23 SHAWMUT ST,778800
065 311 127,55 MERIDIAN ST,642200
065 312 201,MAIN ST,615100
065 312 202,70 70A MERIDIAN ST,777100
065 312 203,66 MERIDIAN ST,558800
065 312 204,62 MERIDIAN ST,768400
065 312 205 1L,58 MERIDIAN ST 1L,392600
065 312 205 1R,58 MERIDIAN ST 1R,402500
065 312 205 2L,58 MERIDIAN ST 2L,409200
065 312 205 2R,58 MERIDIAN ST 2R,400900
065 312 205 3L,58 MERIDIAN ST 3L,394400
065 312 205 3R,58 MERIDIAN ST 3R,411000
065 312 206,54 MERIDIAN ST,571800
065 312 207,26 ELLIS ST,716000
065 312 208,20 22 ELLIS ST,763300
065 312 209,16 18 ELLIS ST,821500
065 313 301,71 WIGGLESWORTH ST,780400
065 313 302,146 MADISON ST,563900
065 313 303,28 SHAWMUT ST,722200
065 313 304,24 SHAWMUT ST,716600
065 313 305,20 22 SHAWMUT ST,887900
065 313 306,16 18 SHAWMUT ST,763600
065 313 307,14 14 1/2 SHAWMUT ST,746600
065 313 308,12 SHAWMUT ST,770800
065 313 309,6 SHAWMUT ST,824200
065 313 310,4 SHAWMUT ST,850200
065 313 311,43 WIGGLESWORTH ST,606100
065 313 312,49 WIGGLESWORTH ST,796500
065 313 314,53 WIGGLESWORTH ST,593000
065 313 315,55 57 WIGGLESWORTH ST,802900
065 313 316,63 WIGGLESWORTH ST,565000
065 313 317,65 WIGGLESWORTH ST,595600
065 315 501,36 BRACKENBURY ST,861000
065 315 502,30 BRACKENBURY ST,596600
065 315 503,26 BRACKENBURY ST,653900
065 315 504,24 BRACKENBURY ST,557400
065 315 505,20 BRACKENBURY ST,490600
065 315 506,18 BRACKENBURY ST,566600
065 315 507,14 16 BRACKENBURY ST,886800
065 315 508,10 BRACKENBURY ST,540700
065 315 509,6 BRACKENBURY ST,558700
065 315 510,2 BRACKENBURY ST,551600
065 315 511,44 WIGGLESWORTH ST,634900
065 315 512,42 WIGGLESWORTH ST,813100
065 315 513,38 40 WIGGLESWORTH ST,816600
065 315 514,34 36 WIGGLESWORTH ST,858700
065 315 515,7 9 JAMES ST,947200
065 315 516,11 JAMES ST,640100
065 315 517,15 JAMES ST,920400
065 315 519 1,25 JAMES ST 1,463800
065 315 519 10,25 JAMES ST 10,524700
065 315 519 11,25 JAMES ST 11,531500
065 315 519 2,25 JAMES ST 2,453300
065 315 519 3,25 JAMES ST 3,476500
065 315 519 4,25 JAMES ST 4,484300
065 315 519 5,25 JAMES ST 5,535700
065 315 519 6,25 JAMES ST 6,550600
065 315 519 7,25 JAMES ST 7,595000
065 315 519 8,25 JAMES ST 8,514600
065 315 519 9,25 JAMES ST 9,508800
065 315 520,29 31 JAMES ST,861300
065 315 521,39 41 MEDFORD ST,642200
065 315 522,43 45 MEDFORD ST,693100
065 315 523,53 MEDFORD ST,805800
065 315 524,47 49 MEDFORD ST,726200
065 316 601,37 MEDFORD ST,772800
065 316 602,30 32 JAMES ST,833700
065 316 603,26 28 JAMES ST,879500
065 316 604,22 24 JAMES ST,793400
065 316 605,16 JAMES ST,12732700
065 316 608,6 8 JAMES ST,714400
065 316 609,26 28 WIGGLESWORTH ST,899400
065 316 610,24 WIGGLESWORTH ST,546200
065 316 611,22 22A WIGGLESWORTH ST,755800
065 316 612,18 20 WIGGLESWORTH ST,782800
065 316 613,14 16 WIGGLESWORTH ST,846800
065 316 614,10 12 WIGGLESWORTH ST,808600
065 316 615,148 MAIN ST,982900
065 316 616,120 MAIN ST,2914700
065 316 617,MAIN ST,53600
065 316 618,110 118 MAIN ST,2549500
065 316 619,104 108 MAIN ST,637200
065 316 620,104 REAR MAIN ST,375400
065 316 621,98 102 MAIN ST,2162500
065 316 622,90 96 MAIN ST,1326200
065 316 623,7 9 MEDFORD ST,954100
065 316 624,11 13 MEDFORD ST,1047100
065 316 625,15 17 MEDFORD ST,1295700
065 316 626,21 MEDFORD ST,958500
065 316 627,25 27 MEDFORD ST,665800
065 316 628,11 MEDFORD TR,458200
065 316 629,26 REAR JAMES ST,1016500
065 316 630,12 MEDFORD TR,734500
065 316 631,29 31 MEDFORD ST,869400
065 316 632,33 MEDFORD ST,544900
066 304 401,115 117 MEDFORD ST,748800
066 304 402,64 GREEN ST,734900
066 304 403,16 18 BERRY ST,831600
066 304 404,14 BERRY ST,846500
066 304 405,8 10 BERRY ST,778200
066 304 406,193 MADISON ST,818500
066 304 407,91 95 MEDFORD ST,1545900
066 304 408,97 99 MEDFORD ST,796600
066 304 409,105 MEDFORD ST,852100
066 304 410 1,109 111 MEDFORD ST 1,351800
066 304 410 2,109 111 MEDFORD ST 2,549100
066 304 410 3,109 111 MEDFORD ST 3,549100
066 304 410 4,109 111 MEDFORD ST 4,364100
066 304 411 1,107 MEDFORD ST 1,329800
066 304 411 2,107 MEDFORD ST 2,329800
066 304 411 3,107 MEDFORD ST 3,286000
066 305 501,60 GREEN ST,652900
066 305 502,56 GREEN ST,690800
066 305 503,54 GREEN ST,873900
066 305 504,50 GREEN ST,761600
066 305 505,16 KEARNEY ST,722500
066 305 506,12 KEARNEY ST,770500
066 305 507,8 KEARNEY ST,746800
066 305 508,175 177 MADISON ST,813400
066 305 509,179 181 MADISON ST,736200
066 305 510,183 185 MADISON ST,771700
